SAM_avg_iou,CNN_avg_iou,SC_iou
0.48682444539365954,0.7169808695125899,0.7082383463436726
0.5,0.6,0.8
0.48682444539365954,0.7169808695125899,0.7082383463436726
0.48682444539365954,0.7169808695125899,0.7082383463436726
0.7691907848097759,0.7632646606521319,0.9455793716710988
0.7220340509838263,0.7334765416296933,0.9071274298056156
0.7449967041317508,0.7441978770876347,0.9254802111805893
0.8679204647318363,0.9309514274604032,0.9183735991716041
0.6982322712396659,0.6924959039300547,0.92010758834997
0.9764902357966591,0.9672838978667518,0.9746358413206901
0.8161970304541021,0.8807791814156897,0.9186942131569771
0.7641498046480051,0.7570279249740128,0.9455793716710988
0.44214591865176356,0.6660307618622765,0.573281866043393
0.7045310422786615,0.6968788072883529,0.9455793716710988
0.9603295048746248,0.9531699457509867,0.9746358413206901
0.8915841692344675,0.8950189014898822,0.9383681568810552
0.026386490662764335,0.8909879009199367,0.02577702933631293
0.9109203403624841,0.9165654892077633,0.9357339110424907
0.31198147184957653,0.6472704626201008,0.41549443405113506
0.31198147184957653,0.6472704626201008,0.41549443405113506
0.02633572639705617,0.7985725113693785,0.024973487051418015
0.06872703372867685,0,0.0
0.6410687446807226,0.6425210948078228,0.9746358413206901
0.9423988052697386,0.9457417681701615,0.9746358413206901
0.8749069564662597,0.8730610747955904,0.07152300675994284
0.8741191166294536,0.8750284550186638,0.2199548374289239
0.664540927047108,0.5120648863401233,0.6138790185059181
0.8415223311662323,0.8349339107206915,0.9455793716710988
0.6932312658132613,0.7402275030504721,0.877280993290274
0.8596647378955005,0.8651793135398991,0.9455793716710988
0.02579323016041269,0,0.0
0.7453006884531774,0.20563951664750799,0.4004061822139444
0.40655620608781157,0,0.0
0.8720464455448705,0.8808208389029832,0.9455793716710988
